B_Sell,B_Purc,O_Sell,O_Purc,B_Cha,B_Dis,O_Cha,O_Dis,SoC,LMP_Bid,LMP_Oper,Solar_G,Solar_bd,Profit_bid,Profit_oper,Degradation,Total_Profit
0.0,23.906590851105683,0.0,13.906590851105678,25.0,0.0,15.299571625803154,0.0,14.534593044512995,11.259725570678713,11.481666666666667,1.3929807746974758,1.0934091488943156,-269.1816523139484,114.81666666666673,9.562232266126971,-163.92721791340867
0.0,23.838269470187683,0.0,24.043483626170538,25.0,0.0,25.0,0.0,38.284593044512995,10.96271800994873,11.229166666666664,0.9565163738294616,1.1617305298123188,-261.3322260468375,-2.3043839598908074,15.625,-279.2616100067283
0.0,9.490504241953705,0.5094957580462951,0.0,10.074581809996182,0.0,0.0,0.0,38.284593044512995,12.923351287841797,13.545,0.5094957580462951,0.5840775680424769,-122.64912021752045,135.45,0.0,12.80087978247954
0.0,24.79468787562899,0.0,14.79468787562899,24.93591875298573,0.0,14.96358626893369,0.0,52.5,11.287336349487305,12.111666666666666,0.1688983933046984,0.1412308773567419,-279.8659817327793,121.11666666666669,9.352241418083556,-168.10155648419618
0.0,14.989659282445087,0.0,24.989659282445086,14.989659282445087,0.0,25.0,0.0,76.25,11.193635940551758,11.094166666666666,0.010340717554913,0.0,-167.7887888806026,-110.94166666666665,15.625,-294.35545554726923
0.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,100.0,11.0744686126709,11.108333333333334,0.0,0.0,-276.8617153167725,0.0,15.625,-292.4867153167725
19.025,0.0,9.025,0.0,0.0,19.025,0.0,9.025,90.5,14.669133186340332,13.898333333333332,0.0,0.0,279.0802588701248,-138.9833333333333,5.640625,134.4563005367915
10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,90.5,13.8947114944458,13.89416666666667,0.0,0.0,138.947114944458,-138.94166666666672,0.0,0.005448277791288092
0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,90.5,13.788820266723633,13.85,0.0,0.0,-137.88820266723633,138.5,0.0,0.6117973327636719
10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,90.5,13.784631729125978,13.7725,0.0,0.0,137.8463172912598,-137.72500000000002,0.0,0.12131729125977131
